Constraint 1,Constraint 2,Constraint 3,Constraint 4,Constraint 5,Constraint 6,Constraint 7,Constraint 8,Constraint 9,Constraint 10,Constraint 11
0,1.73472e-017,9.02802e-014,2.37461e-009,1.56976e-006,3.24332e-012,-1.56125e-017,-6.93889e-018,7.57033e-015,0,1.56961e-006
0,2.25514e-017,1.16965e-013,2.79101e-009,1.67716e-006,4.19359e-012,-1.9082e-017,-6.93889e-018,9.75782e-015,0,1.67697e-006
0,2.42861e-017,1.50616e-013,3.26745e-009,1.78893e-006,5.3891e-012,-1.73472e-017,-6.93889e-018,1.249e-014,0,1.7887e-006
0,2.25514e-017,1.92809e-013,3.81078e-009,1.90511e-006,6.88498e-012,-1.38778e-017,-6.93889e-018,1.59005e-014,0,1.90483e-006
0,2.42861e-017,2.45444e-013,4.42841e-009,2.02577e-006,8.74701e-012,-1.56125e-017,-6.93889e-018,2.01263e-014,0,2.02543e-006
0,3.1225e-017,3.10771e-013,5.12837e-009,2.15093e-006,1.10533e-011,-2.08167e-017,-6.93889e-018,2.5346e-014,0,2.15052e-006
0,3.98986e-017,3.91458e-013,5.91933e-009,2.28066e-006,1.38965e-011,-2.08167e-017,-6.93889e-018,3.17524e-014,0,2.28017e-006
0,4.68375e-017,4.90699e-013,6.81064e-009,2.41499e-006,1.73855e-011,-2.25514e-017,-6.93889e-018,3.9569e-014,0,2.4144e-006
0,6.41848e-017,6.1221e-013,7.81233e-009,2.55396e-006,2.16485e-011,-1.56125e-017,-6.93889e-018,4.90753e-014,0,2.55327e-006
0,8.32667e-017,7.60388e-013,8.9352e-009,2.69762e-006,2.68355e-011,-1.56125e-017,-6.93889e-018,6.05939e-014,0,2.6968e-006
0,1.09288e-016,9.40376e-013,1.01908e-008,2.846e-006,3.31215e-011,-1.21431e-017,-6.93889e-018,7.44925e-014,0,2.84504e-006
0,1.33574e-016,1.15817e-012,1.15915e-008,2.99915e-006,4.07102e-011,-1.04083e-017,-6.93889e-018,9.11961e-014,0,2.99802e-006
0,1.76942e-016,1.42076e-012,1.31505e-008,3.15709e-006,4.98376e-011,-5.20417e-018,-6.93889e-018,1.1118e-013,0,3.15576e-006
0,2.30718e-016,1.73623e-012,1.48818e-008,3.31986e-006,6.07767e-011,6.93889e-018,-6.93889e-018,1.35007e-013,0,3.31832e-006
0,2.89699e-016,2.11402e-012,1.68005e-008,3.4875e-006,7.38424e-011,2.08167e-017,-6.93889e-018,1.63324e-013,0,3.4857e-006
0,3.69496e-016,2.56493e-012,1.89225e-008,3.66002e-006,8.93966e-011,4.68375e-017,-6.93889e-018,1.96858e-013,0,3.65794e-006
0,4.71845e-016,3.10149e-012,2.12647e-008,3.83747e-006,1.07855e-010,7.97973e-017,-6.93889e-018,2.36448e-013,0,3.83507e-006
0,6.08888e-016,3.73806e-012,2.3845e-008,4.01988e-006,1.29691e-010,1.2837e-016,-6.93889e-018,2.8301e-013,0,4.0171e-006
1.73472e-018,7.77156e-016,4.49115e-012,2.66825e-008,4.20726e-006,1.55449e-010,1.92554e-016,-6.93889e-018,3.37624e-013,0,4.20407e-006
1.73472e-018,9.88792e-016,5.37964e-012,2.97971e-008,4.39964e-006,1.85745e-010,2.75821e-016,-6.93889e-018,4.01491e-013,0,4.39598e-006
1.73472e-018,1.25594e-015,6.42512e-012,3.32101e-008,4.59706e-006,2.2128e-010,3.72966e-016,-6.93889e-018,4.75963e-013,0,4.59287e-006
3.46945e-018,1.58901e-015,7.6522e-012,3.69439e-008,4.79952e-006,2.62851e-010,5.15213e-016,-6.93889e-018,5.62536e-013,0,4.79475e-006
3.46945e-018,1.99493e-015,9.08893e-012,4.10219e-008,5.00706e-006,3.11356e-010,7.02563e-016,-6.93889e-018,6.629e-013,0,5.00162e-006
5.20417e-018,2.50841e-015,1.07671e-011,4.54689e-008,5.21969e-006,3.67811e-010,9.50628e-016,-6.93889e-018,7.78946e-013,0,5.21352e-006
8.67362e-018,3.14852e-015,1.2723e-011,5.0311e-008,5.43744e-006,4.33362e-010,1.28023e-015,-6.93889e-018,9.12773e-013,0,5.43044e-006
1.04083e-017,3.92741e-015,1.49975e-011,5.55756e-008,5.66033e-006,5.09296e-010,1.70697e-015,-6.93889e-018,1.06671e-012,0,5.65241e-006
6.93889e-018,4.89712e-015,1.7637e-011,6.12912e-008,5.88836e-006,5.9706e-010,2.26208e-015,-6.93889e-018,1.24334e-012,0,5.87943e-006
6.93889e-018,6.08368e-015,2.06939e-011,6.7488e-008,6.12157e-006,6.98274e-010,2.97679e-015,-6.93889e-018,1.44549e-012,0,6.1115e-006
8.67362e-018,7.54258e-015,2.42272e-011,7.41974e-008,6.35996e-006,8.14752e-010,3.89619e-015,-6.93889e-018,1.67632e-012,0,6.34865e-006
1.21431e-017,9.32414e-015,2.83036e-011,8.14522e-008,6.60356e-006,9.48522e-010,5.08447e-015,-6.93889e-018,1.93927e-012,0,6.59086e-006
1.04083e-017,1.14995e-014,3.2998e-011,8.92868e-008,6.85237e-006,1.10184e-009,6.60236e-015,-6.93889e-018,2.23814e-012,0,6.83815e-006
1.56125e-017,1.41345e-014,3.83947e-011,9.7737e-008,7.10642e-006,1.27723e-009,8.54698e-015,-6.93889e-018,2.57705e-012,0,7.09051e-006
1.73472e-017,1.73334e-014,4.45883e-011,1.0684e-007,7.36571e-006,1.4775e-009,1.10242e-014,-6.93889e-018,2.96051e-012,0,7.34795e-006
2.08167e-017,2.12139e-014,5.16851e-011,1.16635e-007,7.63026e-006,1.70574e-009,1.41762e-014,-6.93889e-018,3.39343e-012,0,7.61047e-006
2.42861e-017,2.58855e-014,5.98041e-011,1.27163e-007,7.90009e-006,1.96542e-009,1.81626e-014,-6.93889e-018,3.88116e-012,0,7.87807e-006
